Estimados estimar VMP00PM 1
amig@s amig@s NCMP000 0.325258
de de SPS00 0.999984
Ciao ciao NP00000 1
. . Fp 1

Después_de después_de SPS00 1
esta este DD0FS0 0.986779
opinión opinión NCFS000 1
espero esperar VMIP1S0 1
que que CS 0.437483
algunos alguno PI0MP000 0.523734
no no RN 0.998134
opinen opinar VMSP3P0 0.885893
que que CS 0.437483
estoy estar VAIP1S0 1
un uno DI0MS0 0.987295
poco poco PI0MS000 0.333333
loco loco AQ0MS0 0.822581
, , Fc 1
que que CS 0.437483
lo lo PP3CNA00 0.271177
estoy estar VAIP1S0 1
, , Fc 1
pero pero CC 0.999764
bueno bueno I 0.548077
no no RN 0.998134
me me PP1CS000 0.89124
va ir VMIP3S0 1
mal mal RG 0.497537
así así RG 0.998812
. . Fp 1

Cuando cuando CS 0.985595
vivía vivir VMII3S0 0.65
en en SPS00 1
Madrid madrid NP00000 1
compré comprar VMIS1S0 1
un uno DI0MS0 0.987295
pisito pis NCMS00D 0.5
en_la_zona_de en_la_zona_de SPS00 1
Huertas huertas NP00000 1
. . Fp 1

Me me PP1CS000 0.89124
costó costar VMIS3S0 1
barato barato AQ0MS0 1
en en SPS00 1
esa ese DD0FS0 0.983871
época época NCFS000 1
y y CC 0.999962
bueno bueno AQ0MS0 0.451923
era ser VSII1S0 0.491262
un uno DI0MS0 0.987295
edificio edificio NCMS000 1
rehabilitado rehabilitar VMP00SM 1
. . Fp 1

Yo yo PP1CSN00 1
compré comprar VMIS1S0 1
la el DA0FS0 0.972269
planta planta NCFS000 0.953488
baja bajo AQ0FS0 0.959459
( ( Fpa 1
que que PR0CN000 0.562517
anteriormente anteriormente RG 1
fue ser VSIS3S0 0.935924
una uno DI0FS0 0.951575
carpinteria carpinteria NCFS000 1
) ) Fpt 1
y y CC 0.999962
se se P00CN000 0.465639
distribuía distribuir VMII3S0 0.649991
en en SPS00 1
forma forma NCFS000 0.970944
buhardilla buhardilla NCFS000 1
con con SPS00 1
la el DA0FS0 0.972269
parte parte NCFS000 0.499183
baja bajo AQ0FS0 0.959459
en en SPS00 1
distribución distribución NCFS000 1
de de SPS00 0.999984
loft loft NCMS000 0.607342
. . Fp 1

A a SPS00 1
el el DA0MS0 1
decir decir VMN0000 0.997512
planta planta NCFS000 0.953488
baja bajo AQ0FS0 0.959459
supondréis suponer VMIF2P0 1
que que CS 0.437483
era ser VSII1S0 0.491262
una uno DI0FS0 0.951575
mansión mansión NCFS000 1
o o CC 0.999769
algo algo PI0CS000 0.900246
así así RG 0.998812
... ... Fs 1
pues pues CS 0.998047
no no RN 0.998134
eran ser VSII3P0 0.972637
45 45 Z 1
