Buenas buenas NP00000 0.288228
, , Fc 1
quisiera querer VMSI3S0 0.5
hablar hablar VMN0000 1
os os PP2CP000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
q q NCFN000 0.5
creo crear VMIP1S0 0.5
q q NCFN000 0.5
fue ser VSIS3S0 0.935924
la el DA0FS0 0.972269
mejor mejor AQ0CS0 0.873665
compra compra NCFS000 0.561644
q q NCFN000 0.5
hice hacer VMIS1S0 1
hasta hasta SPS00 0.957698
ahora ahora RG 1
para para SPS00 0.999103
mi mi DP1CSS 0.999101
casa casa NCFS000 0.979058
, , Fc 1
mi mi DP1CSS 0.999101
lavadora lavadora NCFS000 0.414738
Candy candy NP00000 1
. . Fp 1

Os os PP2CP000 0.759259
imaginais imaginais VMIP2P0 0.0348632
q q NCFN000 0.5
seria serio AQ0FS0 0.841237
de de SPS00 0.999984
nosotros nosotros PP1MP000 1
sino sino CC 0.986453
existieran existir VMSI3P0 1
las el DA0FP0 0.970954
lavadoras lavador AQ0FP0 0.588031
todavia todavia NCFS000 0.857143
? ? Fit 1
coger coger VMN0000 1
toda todo DI0FS0 0.982026
la el DA0FS0 0.972269
ropa ropa NCFS000 1
en en SPS00 1
un uno DI0MS0 0.987295
cesto cesto NCMS000 1
, , Fc 1
e y CC 0.980427
ir ir VMN0000 1
caminando caminar VMG0000 1
a a SPS00 1
el el DA0MS0 1
lavadero lavadero NCMS000 1
mas mas CC 0.699537
cercano cercano AQ0MS0 1
como como CS 0.999289
hacian hacian VMIP3P0 1
nuestras nuestro DP1FPP 0.994186
abuelas abuelo NCFP000 1
antaño antaño RG 1
, , Fc 1
lavar lavar VMN0000 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
con con SPS00 1
el el DA0MS0 1
agua agua NCCS000 0.99177
fria fria AQ0FS0 0.298746
, , Fc 1
frotando frotar VMG0000 1
sobre sobre SPS00 0.997091
una uno DI0FS0 0.951575
tabla tabla NCFS000 1
de de SPS00 0.999984
madera madera NCFS000 0.962264
rayada rayar VMP00SF 1
, , Fc 1
golpeando golpear VMG0000 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
con con SPS00 1
una uno DI0FS0 0.951575
pala pala NCFS000 1
y y CC 0.999962
destrozando destrozar VMG0000 1
las el DA0FP0 0.970954
manos mano NCFP000 1
.... .... Fz 1
os os PP2CP000 0.773585
imaginais imaginais VMSI2P0 0.0348632
en en SPS00 1
estos este DD0MP0 0.998084
tiempos tiempo NCMP000 1
cuanto cuanto PR0MS000 0.274336
tiempo tiempo NCMS000 1
deberiamos deberiamos VMIP1P0 1
perder perder VMN0000 1
para para SPS00 0.999103
hacer hacer VMN0000 1
todo todo DI0MS0 0.560961
eso ese PD0NS000 1
aparte_de aparte_de SPS00 1
el el DA0MS0 1
trabajo trabajo NCMS000 0.949029
diario diario AQ0MS0 0.5
? ? Fit 1
, , Fc 1
no no RN 0.998134
sabemos saber VMIP1P0 1
cuanto cuanto RG 0.716814
bien bien RG 0.902728
nos nos PP1CP000 0.935743
produce producir VMIP3S0 0.991803
una uno DI0FS0 0.951575
lavadora lavadora NCFS000 0.414738
, , Fc 1
cuanto cuanto PR0MS000 0.274336
es ser VSIP3S0 1
el el DA0MS0 1
tiempo tiempo NCMS000 1
q q NCFN000 0.5
nos nos PP1CP000 0.935743
ahorra ahorrar VMIP3S0 0.994868
... ... Fs 1
yo yo PP1CSN00 1
creo crear VMIP1S0 0.5
q q NCFN000 0.5
es ser VSIP3S0 1
el el DA0MS0 1
aparato aparato NCMS000 1
en en SPS00 1
el el DA0MS0 1
q q NCFN000 0.5
primero primero RG 0.374486
pensamos pensar VMIP1P0 0.65
a a SPS00 0.996023
la el DA0FS0 0.972269
hora hora NCFS000 1
de de SPS00 0.999984
comprar comprar VMN0000 1
un uno DI0MS0 0.987295
electrodomestico electrodomestico NCMS000 0.499754
